recommendation,class,level,table_number,table_name,guideline,year,page
"cardiac magnetic resonance indication in patients with cardiomyopathy Contrast-enhanced CMR is recommended in patients with cardiomyopathy at initial evaluation.10,90,116,119–",I,B,5,Recommendations for,Cardiomyopathies,2023,24
"Contrast-enhanced CMR should be considered for the serial follow-up and assessment of therapeutic response in patients with cardiac amyloidosis, Anderson–Fabry disease, sarcoidosis, inflammatory cardiomyopathies, and haemochromatosis with cardiac involvement.148–",IIa,C,5,Recommendations for,Cardiomyopathies,2023,24
"In families with cardiomyopathy in which a disease-causing variant has been identified, contrast-enhanced CMR should be considered in genotype-positive/phenotype-negative family members to aid diagnosis and detect early disease.10,122,126,128,129,135–143,145,153–",IIa,B,5,Recommendations for,Cardiomyopathies,2023,24
"In cases of familial cardiomyopathy without a genetic diagnosis, contrast-enhanced CMR may be considered in phenotype-negative family members to aid diagnosis and detect early disease.",IIb,C,5,Recommendations for,Cardiomyopathies,2023,24
computed tomography and nuclear imaging DPD/PYP/HMDP bone-tracer scintigraphy is recommended in patients with suspected ATTR-related cardiac amyloidosis to aid diagnosis.166–,I,B,6,Recommendations for,Cardiomyopathies,2023,26
Contrast-enhanced cardiac CT should be considered in patients with suspected cardiomyopathy who have inadequate echocardiographic imaging and contraindications to CMR.,IIa,C,6,Recommendations for,Cardiomyopathies,2023,26
"In patients with suspected cardiomyopathy, CT-based imaging should be considered to exclude congenital or acquired coronary artery disease as a cause of the observed myocardial abnormality.",IIa,C,6,Recommendations for,Cardiomyopathies,2023,26
18F-FDG-PET scanning should be considered for the diagnostic work-up in patients with cardiomyopathy in whom cardiac sarcoidosis is suspected.,IIa,C,6,Recommendations for,Cardiomyopathies,2023,26
"endomyocardial biopsy in patients with cardiomyopathy Recommendation In patients with suspected cardiomyopathy, EMB should be considered to aid in diagnosis and management when the results of other clinical investigations suggest myocardial inflammation, infiltration, or storage that cannot be identified by other means.174–",IIa,C,7,Recommendation for,Cardiomyopathies,2023,26
"genetic counselling and testing in cardiomyopathies Genetic counselling Genetic counselling, provided by an appropriately trained healthcare professional and including genetic education to inform decision-making and psychosocial support, is recommended for families with an inherited or suspected inherited cardiomyopathy, regardless of whether genetic testing is being considered.204,206,208,209,221–",I,B,8,Recommendations for,Cardiomyopathies,2023,35
"It is recommended that genetic testing for cardiomyopathy is performed with access to a multidisciplinary team, including those with expertise in genetic testing methodology, sequence variant interpretation, and clinical application of genetic testing, typically in a specialized cardiomyopathy service or in a network model with access to equivalent expertise.222,224–",I,B,8,Recommendations for,Cardiomyopathies,2023,35
"Pre- and post-test genetic counselling is recommended in all individuals undergoing genetic testing for cardiomyopathy.204,208,227–",I,B,8,Recommendations for,Cardiomyopathies,2023,35
"If pre-natal diagnostic testing is to be pursued by the family, it is recommended that this is performed early in pregnancy, to allow decisions regarding continuation or co-ordination of pregnancy to be made.",I,C,8,Recommendations for,Cardiomyopathies,2023,35
A discussion about reproductive genetic testing options with an appropriately trained healthcare professional should be considered for all families with a genetic diagnosis.,IIa,C,8,Recommendations for,Cardiomyopathies,2023,35
"Index patients Genetic testing is recommended in patients fulfilling diagnostic criteria for cardiomyopathy in cases where it enables diagnosis, prognostication, therapeutic stratification, or reproductive management of the patient, or where it enables cascade genetic evaluation of their relatives who would otherwise be enrolled into long-term surveillance.227–",I,B,8,Recommendations for,Cardiomyopathies,2023,35
Genetic testing is recommended for a deceased individual identified to have cardiomyopathy at post-mortem if a genetic diagnosis would facilitate management of surviving relatives.239–,I,C,8,Recommendations for,Cardiomyopathies,2023,35
"Genetic testing may be considered in patients fulfilling diagnostic criteria for cardiomyopathy when it will have a net benefit to the patient, considering the psychological impact and preference, even if it does not enable diagnosis, prognostication, or therapeutic stratification, or cascade genetic screening of their relatives.",IIb,C,8,Recommendations for,Cardiomyopathies,2023,35
Genetic testing in patients with a borderline phenotype not fulfilling diagnostic criteria for a cardiomyopathy may be considered only after detailed assessment by specialist teams.,IIb,C,8,Recommendations for,Cardiomyopathies,2023,35
"Cascade genetic testing with pre- and post-test counselling should be considered in paediatric at-risk relatives if a confident genetic diagnosis (i.e. a P/LP variant) has been established in an individual with cardiomyopathy in the family (starting with first-degree relatives, if available, and cascading out sequentially), considering the underlying cardiomyopathy, expected age of onset, presentation in the family, and clinical/legal consequences.233–",IIa,B,8,Recommendations for,Cardiomyopathies,2023,35
"Testing for the presence of a familial variant of unknown significance, typically in parents and/or affected relatives, to determine if the variant segregates with the cardiomyopathy phenotype should be considered if this might allow the variant to be interpreted with confidence.",IIa,C,8,Recommendations for,Cardiomyopathies,2023,35
Diagnostic genetic testing is not recommended in a phenotype-negative relative of a patient with cardiomyopathy in the absence of a confident genetic diagnosis (i.e. a P/LP variant) in the family.,III,C,8,Recommendations for,Cardiomyopathies,2023,35
"cardiac transplantation in patients with cardiomyopathy Orthotopic cardiac transplantation is recommended for eligible cardiomyopathy patients with advanced heart failure (NYHA class III–IV) or intractable ventricular arrhythmia refractory to medical/invasive/ device therapy, and who do not have absolute contraindications.317–",I,C,9,Recommendations for,Cardiomyopathies,2023,38
"left ventricular assist device therapy in patients with cardiomyopathy Recommendation Mechanical circulatory support therapy should be considered in selected cardiomyopathy patients with advanced heart failure (NYHA class III–IV) despite optimal pharmacological and device treatment, who are otherwise suitable for heart transplantation, to improve symptoms and reduce the risk of heart failure hospitalization from worsening heart failure and premature death while awaiting a transplant.320–",IIa,B,10,Recommendation for,Cardiomyopathies,2023,38
"Mechanical circulatory support therapy should be considered in selected cardiomyopathy patients with advanced heart failure (NYHA class III–IV) despite optimal pharmacological and device therapy, who are not eligible for cardiac transplantation or other surgical options, and without severe right ventricular dysfunction, to reduce the risk of death and improve symptoms.321,325–",IIa,B,10,Recommendation for,Cardiomyopathies,2023,38
"management of atrial fibrillation and atrial flutter in patients with cardiomyopathy Anticoagulation Oral anticoagulation in order to reduce the risk of stroke and thrombo-embolic events is recommended in all patients with HCM or cardiac amyloidosis and AF or atrial flutter (unless contraindicated).332,365,369,371,373,378,413,427,428,456–",I,B,11,Recommendations for,Cardiomyopathies,2023,41
"Oral anticoagulation to reduce the risk of stroke and thrombo-embolic events is recommended in patients with DCM, NDLVC, or ARVC, and AF or atrial flutter with a CHA2DS2-VASc score ≥2 in men or ≥3 in women.465–",I,B,11,Recommendations for,Cardiomyopathies,2023,41
"Oral anticoagulation to reduce the risk of stroke and thrombo-embolic events should be considered in patients with DCM, NDLVC, or ARVC, and AF or atrial flutter with a CHA2DS2-VASc score of 1 in men or of 2 in women.470–",IIa,B,11,Recommendations for,Cardiomyopathies,2023,42
"Control of symptoms and heart failure Atrial fibrillation catheter ablation is recommended for rhythm control after one failed or intolerant class I or III AAD to improve symptoms of AF recurrences in patients with paroxysmal or persistent AF and cardiomyopathy.335,397–399,412,415–420,430– 435,447,451,473–",I,B,11,Recommendations for,Cardiomyopathies,2023,42
"Atrial fibrillation catheter ablation is recommended to reverse LV dysfunction in AF patients with cardiomyopathy when tachycardia-induced component is highly probable, independent of their symptom status.405,407,408,499–",I,B,11,Recommendations for,Cardiomyopathies,2023,42
"Maintenance of sinus rhythm rather than rate control should be considered at an early stage for patients with a cardiomyopathy and AF without major risk factors for recurrence, regardless of symptoms.",IIa,C,11,Recommendations for,Cardiomyopathies,2023,42
"Atrial fibrillation catheter ablation should be considered as first-line rhythm control therapy to improve symptoms in selected patients with cardiomyopathy and paroxysmal or persistent AF without major risk factors for recurrences as an alternative to class I or III AADs, considering patient choice, benefit, and risk.392,393,480,502–",IIa,C,11,Recommendations for,Cardiomyopathies,2023,42
"Atrial fibrillation catheter ablation should be considered in selected patients with cardiomyopathy, AF, and heart failure and/or reduced LVEF to prevent AF recurrences and improve QoL, LVEF, and survival and reduce heart failure hospitalization.399–401,403– 408,499–",IIa,B,11,Recommendations for,Cardiomyopathies,2023,42
"Comorbidities and associated risk factors management Modification of unhealthy lifestyle and targeted therapy of intercurrent conditions is recommended to reduce AF burden and symptom severity in patients with cardiomyopathy.347,508–",I,B,11,Recommendations for,Cardiomyopathies,2023,42
implantable cardioverter defibrillator in patients with cardiomyopathy General recommendations Implantation of a cardioverter defibrillator is only recommended in patients who have an expectation of good quality survival >1 year.,I,C,12,Recommendations for,Cardiomyopathies,2023,43
"It is recommended that ICD implantation be guided by shared decision-making that: • is evidence-based; • considers a person’s individual preferences, beliefs, circumstances, and values; and • ensures that the person understands the benefits, harms, and possible consequences of different treatment options.c",I,C,12,Recommendations for,Cardiomyopathies,2023,43
"It is recommended that prior to ICD implantation, patients are counselled on the risk of inappropriate shocks, implant complications, and the social, occupational, and driving implications of the device.",I,C,12,Recommendations for,Cardiomyopathies,2023,43
It is not recommended to implant an ICD in patients with incessant ventricular arrhythmias until the ventricular arrhythmia is controlled.,III,C,12,Recommendations for,Cardiomyopathies,2023,43
"• in patients with NDLVC and RCM who have survived a cardiac arrest due to VT or VF, or who have spontaneous sustained ventricular arrhythmia causing syncope or haemodynamic compromise in the absence of reversible causes.",I,C,12,Recommendations for,Cardiomyopathies,2023,43
"ICD implantation should be considered in patients with cardiomyopathy presenting with haemodynamically tolerated VT, in the absence of reversible causes.",IIa,C,12,Recommendations for,Cardiomyopathies,2023,43
"Primary prevention Comprehensive SCD risk stratification is recommended in all cardiomyopathy patients who have not suffered a previous cardiac arrest/sustained ventricular arrhythmia at initial evaluation and at 1–2 year intervals, or whenever there is a change in clinical status.",I,C,12,Recommendations for,Cardiomyopathies,2023,43
"The use of validated SCD algorithms/scores as aids to the shared decision-making when offering ICD implantation, where available:e • is recommended in patients with HCM.",I,B,12,Recommendations for,Cardiomyopathies,2023,43
"• should be considered in patients with DCM, NDLVC, and ARVC.185,186,524,526,536–",IIa,B,12,Recommendations for,Cardiomyopathies,2023,43
"If a patient with cardiomyopathy requires pacemaker implantation, comprehensive SCD risk stratification to evaluate the need for ICD implantation should be considered.",IIa,C,12,Recommendations for,Cardiomyopathies,2023,43
"Choice of ICD When an ICD is indicated, it is recommended to evaluate whether the patient could benefit from CRT.",I,A,12,Recommendations for,Cardiomyopathies,2023,43
"Subcutaneous defibrillators should be considered as an alternative to transvenous defibrillators in patients with an indication for an ICD when pacing therapy for bradycardia, cardiac resynchronization, or antitachycardia pacing is not anticipated.",IIa,B,12,Recommendations for,Cardiomyopathies,2023,43
The wearable cardioverter defibrillator should be considered for adult patients with a secondary prevention ICD indication who are temporarily not candidates for ICD implantation.,IIa,C,12,Recommendations for,Cardiomyopathies,2023,43
routine follow-up of patients with cardiomyopathy It is recommended that all clinically stable patients with cardiomyopathy undergo routine follow-up using a multiparametric approach that includes ECG and echocardiography every 1 to 2 years.,I,C,13,Recommendations for,Cardiomyopathies,2023,44
Clinical evaluation with ECG and multimodality imaging is recommended in patients with cardiomyopathy whenever there is a substantial or unexpected change in symptoms.,I,C,13,Recommendations for,Cardiomyopathies,2023,44
"family screening and follow-up evaluation of relatives Following cascade genetic testing, clinical evaluation using a multiparametric approach that includes ECG and cardiac imaging and long-term follow-up is recommended in first-degree relatives who have the same disease-causing variant as the proband.",I,B,14,Recommendations for,Cardiomyopathies,2023,44
"Following cascade genetic testing, it is recommended that first-degree relatives without a phenotype who do not have the same disease-causing variant as the proband are discharged from further follow-up but advised to seek re-assessment if they develop symptoms or when new clinically relevant data emerge in the family.",I,C,14,Recommendations for,Cardiomyopathies,2023,44
"It is recommended that when no P/LP variant is identified in the proband or genetic testing is not performed, an initial clinical evaluation using a multiparametric approach that includes ECG and cardiac imaging is performed in first-degree relatives.",I,C,14,Recommendations for,Cardiomyopathies,2023,44
"When no P/LP variant is identified in the proband or genetic testing is not performed, regular, long-term clinical evaluation using a multiparametric approach that includes ECG and cardiac imaging should be considered in first-degree relatives.",IIa,C,14,Recommendations for,Cardiomyopathies,2023,44
"During cascade screening, where a first-degree relative has died, clinical evaluation of close relatives of the deceased individual (i.e. second-degree relatives of the index patient) should be considered.",IIa,C,14,Recommendations for,Cardiomyopathies,2023,44
psychological support in patients and family members with cardiomyopathies It is recommended that psychological support by an appropriately trained health professional be offered to all individuals who have experienced the premature sudden cardiac death of a family member with cardiomyopathy.,I,B,15,Recommendations for,Cardiomyopathies,2023,47
It is recommended that psychological support by an appropriately trained health professional be offered to all individuals with an inherited cardiomyopathy who receive an implantable cardioverter defibrillator.552–,I,B,15,Recommendations for,Cardiomyopathies,2023,47
Psychological support by an appropriately trained health professional should be considered in all patients and families with an inherited cardiomyopathy and in particular for those issues described in the text.c,IIa,C,15,Recommendations for,Cardiomyopathies,2023,47
"evaluation of left ventricular outflow tract obstruction In all patients with HCM, at initial evaluation, transthoracic 2D and Doppler echocardiography are recommended, at rest and during Valsalva manoeuvre in the sitting and semi-supine positions— and then on standing if no gradient is provoked—to detect LVOTO.84,86,365,525,584,587,589–",I,B,16,Recommendation for,Cardiomyopathies,2023,47
"In symptomatic patients with HCM and a resting or provokedc peak instantaneous LV outflow tract gradient <50 mmHg, 2D and Doppler echocardiography during exercise in the standing, sitting (when possible), or semi-supine position are recommended to detect provocable LVOTO and exercise-induced mitral regurgitation.588,595–",I,B,16,Recommendation for,Cardiomyopathies,2023,47
"Transoesophageal echocardiography should be considered in patients with HCM and LVOTO if the mechanism of obstruction is unclear or when assessing the mitral valve apparatus before a septal reduction procedure, or when severe mitral regurgitation caused by intrinsic valve abnormalities is suspected.599–",IIa,C,16,Recommendation for,Cardiomyopathies,2023,47
dation for cardiovascular magnetic resonance evaluation in hypertrophic cardiomyopathy Recommendation Contrast-enhanced CMR may be considered before ASA or myectomy to assess the extent and distribution of hypertrophy and myocardial fibrosis.,IIb,C,17,Additional recommen­,Cardiomyopathies,2023,48
"treatment of left ventricular outflow tract obstruction (general measures) Avoidance of digoxin and arterial and venous dilators, including nitrates and phosphodiesterase inhibitors, should be considered, if possible, in patients with resting or provocable LVOTO.",IIa,C,18,Recommendations for,Cardiomyopathies,2023,51
Restoration of sinus rhythm or appropriate rate control should be considered before invasive management of LVOTO in patients with new-onset or poorly controlled AF.,IIa,C,18,Recommendations for,Cardiomyopathies,2023,51
"medical treatment of left ventricular outflow tract obstruction Non-vasodilating beta-blockers, titrated to maximum tolerated dose, are recommended as first-line therapy to improve symptoms in patients with resting or provokedc LVOTO.631–633,648–",I,B,19,Recommendations for,Cardiomyopathies,2023,52
"Verapamil or diltiazem, titrated to maximum tolerated dose, are recommended to improve symptoms in symptomatic patients with resting or provokedc LVOTO who are intolerant or have contraindications to beta-blockers.633,637–",I,B,19,Recommendations for,Cardiomyopathies,2023,52
"Disopyramide,d titrated to maximum tolerated dose, is recommended in addition to a beta-blocker (or, if this is not possible, with verapamil or diltiazem) to improve symptoms in patients with resting or provokedc LVOTO.632–",I,B,19,Recommendations for,Cardiomyopathies,2023,52
"Cardiac myosin ATPase inhibitor (mavacamten), titrated to maximum tolerated dose with echocardiographic surveillance of LVEF, should be considered in addition to a beta-blocker (or, if this is not possible, with verapamil or diltiazem) to improve symptoms in adult patients with resting or provokedc LVOTO.622,642–",IIa,A,19,Recommendations for,Cardiomyopathies,2023,52
Oral or i.v. beta-blockers and vasoconstrictors should be considered in patients with severe provocablec LVOTO presenting with hypotension and acute pulmonary oedema who do not respond to fluid administration.,IIa,C,19,Recommendations for,Cardiomyopathies,2023,52
"Disopyramide, titrated to maximum tolerated dose, may be considered as monotherapy in patients who are intolerant to or have contraindications to beta-blockers and verapamil/diltiazem to improve symptoms in patients with resting or provokedc LVOTO.",IIb,C,19,Recommendations for,Cardiomyopathies,2023,52
Beta-blockers or verapamil may be considered in selected cases in asymptomatic patients with resting or provokedc LVOTO to reduce LV pressures.,IIb,C,19,Recommendations for,Cardiomyopathies,2023,52
The cautious use of low-dose diuretics may be considered in symptomatic LVOTO to improve exertional dyspnoea.,IIb,C,19,Recommendations for,Cardiomyopathies,2023,52
"septal reduction therapy It is recommended that SRT be performed by experienced operators working as part of a multidisciplinary team expert in the management of HCM.664,665,687,695,696,708–",I,C,20,Recommendations for,Cardiomyopathies,2023,54
"SRT to improve symptoms is recommended in patients with a resting or maximum provoked LVOT gradient of ≥50 mmHg who are in NYHA/Ross functional class III–IV, despite maximum tolerated medical therapy.697–",I,B,20,Recommendations for,Cardiomyopathies,2023,54
"Septal myectomy, rather than ASA, is recommended in children with an indication for SRT, as well as in adult patients with an indication for SRT and other lesions requiring surgical intervention (e.g. mitral valve abnormalities).",I,C,20,Recommendations for,Cardiomyopathies,2023,54
"SRT should be considered in patients with recurrent exertional syncope caused by a resting or maximum provoked LVOTO gradient ≥50 mmHg despite optimal medical therapy.686,711–",IIa,C,20,Recommendations for,Cardiomyopathies,2023,54
"Mitral valve repair or replacement should be considered in symptomatic patients with a resting or maximum provoked LVOTO gradient ≥50 mmHg and moderate-to-severe mitral regurgitation that cannot be corrected by SRT alone.661,669–",IIa,C,20,Recommendations for,Cardiomyopathies,2023,54
Mitral valve repair should be considered in patients with a resting or maximum provoked LVOTO gradient ≥50 mmHg when there is moderate-to-severe mitral regurgitation following isolated myectomy.,IIa,C,20,Recommendations for,Cardiomyopathies,2023,54
SRT may be considered in expert centres with demonstrable low procedural complication rates in patients with mild symptoms (NYHA class II) refractory to medical therapy who have a resting or maximum provoked (exercise or Valsalva) gradient of ≥50 mmHg and: • moderate-to-severe SAM-related mitral regurgitation; or • AF; or • moderate-to-severe left atrial dilatation.,IIb,C,20,Recommendations for,Cardiomyopathies,2023,54
"indications for cardiac pacing in patients with obstruction Sequential AV pacing, with optimal AV interval to reduce the LV outflow tract gradient or to facilitate medical treatment with beta-blockers and/or verapamil, may be considered in selected patients with resting or provocable LVOTO ≥50 mmHg, sinus rhythm, and drug-refractory symptoms, who have contraindications for ASA or septal myectomy or are at high risk of developing heart block following ASA or septal myectomy.633,719–",IIb,C,21,Recommendations for,Cardiomyopathies,2023,55
"In patients with resting or provocable LVOTO ≥50 mmHg, sinus rhythm, and drug-refractory symptoms, in whom there is an indication for an ICD, a dual-chamber ICD (instead of a single-lead device) may be considered, to reduce the LV outflow tract gradient or to facilitate medical treatment with beta-blockers and/or verapamil.633,719–",IIb,C,21,Recommendations for,Cardiomyopathies,2023,55
chest pain on exertion in patients without left ventricu­ lar outflow tract obstruction Beta-blockers and calcium antagonists (verapamil or diltiazem) should be considered to improve symptoms in patients with angina-like chest pain even in the absence of LVOTO or obstructive CAD.740–,IIa,C,22,Recommendations for,Cardiomyopathies,2023,55
"Oral nitrates may be considered to improve symptoms in patients with angina-like chest pain, even in the absence of obstructive CAD, if there is no LVOTO.",IIb,C,22,Recommendations for,Cardiomyopathies,2023,55
Ranolazine may be considered to improve symptoms in patients with angina-like chest pain even in the absence of LVOTO or obstructive CAD.,IIb,C,22,Recommendations for,Cardiomyopathies,2023,55
"dations for prevention of sudden cardiac death in patients with hypertrophic cardiomyopathy Secondary prevention Implantation of an ICD is recommended in patients who have survived a cardiac arrest due to VT or VF, or who have spontaneous sustained VT with haemodynamic compromise.",I,B,23,Additional recommen­,Cardiomyopathies,2023,59
Validated paediatric-specific risk prediction models (e.g. HCM Risk-Kids) are recommended as a method of estimating risk of sudden death at 5 years in patients aged <16 years for primary prevention.,I,B,23,Additional recommen­,Cardiomyopathies,2023,59
"Implantation of an ICD should be considered in patients with an estimated 5-year risk of sudden death of ≥6%, following detailed clinical assessment that considers: (i) the lifelong risk of complications; (ii) competing mortality risk from the disease and comorbidities; AND (iii) the impact of an ICD on lifestyle, socio-economic status, and psychological health.",IIa,B,23,Additional recommen­,Cardiomyopathies,2023,60
"In patients with LV apical aneurysms, decisions about primary prevention ICD based on an assessment of risk using the HCM Risk-SCD or a validated paediatric risk-prediction (e.g. HCM Risk-Kids) tool and not solely on the presence of the aneurysm should be considered.",IIa,B,23,Additional recommen­,Cardiomyopathies,2023,60
"Implantation of an ICD may be considered in individual patients with an estimated 5-year risk of SCD of between ≥4% and <6%, following detailed clinical assessment that takes into account the lifelong risk of complications and the impact of an ICD on lifestyle, socio-economic status, and psychological health.",IIb,B,23,Additional recommen­,Cardiomyopathies,2023,60
"For patients who are in the low-risk category (<4% estimated 5-year risk of SCD), the presence of extensive LGE (≥15%) on CMR may be considered in shared decision-making with patients about prophylactic ICD implantation, acknowledging the lack of robust data on the impact of scar quantification on the personalized risk estimates generated by HCM Risk-SCD or a validated paediatric model (e.g. HCM Risk-Kids).141,796,797,834–",IIb,B,23,Additional recommen­,Cardiomyopathies,2023,60
"For patients who are in the low-risk category (<4% estimated 5-year risk of SCD), the presence of LVEF <50% may be considered in shared decision-making with patients about prophylactic ICD implantation, acknowledging the lack of robust data on the impact of systolic dysfunction on the personalized risk estimates generated by HCM Risk-SCD or a validated paediatric model (e.g. HCM Risk-Kids).89,315,841–",IIb,B,23,Additional recommen­,Cardiomyopathies,2023,60
an implantable cardioverter defibrillator in patients with dilated cardiomyopathy Secondary prevention An ICD is recommended to reduce the risk of sudden death and all-cause mortality in patients with DCM who have survived a cardiac arrest or have recovered from a ventricular arrhythmia causing haemodynamic instability.,I,B,24,Recommendations for,Cardiomyopathies,2023,64
"Primary prevention An ICD should be considered to reduce the risk of sudden death and all-cause mortality in patients with DCM, symptomatic heart failure, and LVEF ≤35% despite >3 months of OMT.",IIa,A,24,Recommendations for,Cardiomyopathies,2023,64
The patient’s genotype should be considered in the estimation of SCD risk in DCM.,IIa,B,24,Recommendations for,Cardiomyopathies,2023,64
An ICD should be considered in patients with DCM with a genotype associated with high SCD risk and LVEF >35% in the presence of additional risk factors (see Table 21).,IIa,C,24,Recommendations for,Cardiomyopathies,2023,64
"resting and ambulatory electrocardiogram monitoring in patients with non-dilated left ventricular cardiomyopathy Recommendation Ambulatory ECG monitoring is recommended in patients with NDLVC annually or when there is a change in clinical status, to aid in management and risk stratification.",I,C,25,Recommendation for,Cardiomyopathies,2023,65
an implantable cardioverter defibrillator in patients with non-dilated left ventricular cardiomyopathy Secondary prevention An ICD is recommended to reduce the risk of sudden death and all-cause mortality in patients with NDLVC who have survived a cardiac arrest or have recovered from a ventricular arrhythmia causing haemodynamic instability.,I,C,26,Recommendations for,Cardiomyopathies,2023,66
"Primary prevention An ICD should be considered to reduce the risk of sudden death and all-cause mortality in patients with NDLVC, heart failure symptoms, and LVEF ≤35% despite >3 months of OMT.",IIa,A,26,Recommendations for,Cardiomyopathies,2023,66
The patient’s genotype should be considered in the estimation of SCD risk in NDLVC.,IIa,C,26,Recommendations for,Cardiomyopathies,2023,66
"An ICD should be considered in patients with NDLVC with a genotype associated with high SCD risk and LVEF >35% in the presence of additional risk factors (see Table 21).185,186,438,541,542,865–869,878–",IIa,C,26,Recommendations for,Cardiomyopathies,2023,66
An ICD may be considered in selected patients with NDLVC with a genotype associated with high SCD risk and LVEF >35% without additional risk factors (see Table 21).,IIb,C,26,Recommendations for,Cardiomyopathies,2023,66
An ICD may be considered in patients with NDLVC without a genotype associated with high SCD risk and LVEF >35% in the presence of additional risk factors.c,IIb,C,26,Recommendations for,Cardiomyopathies,2023,66
"resting and ambulatory electrocardiogram monitoring in patients with arrhythmogenic right ventricular cardiomyopathy Recommendation Annual ambulatory ECG monitoring is recommended in patients with ARVC to aid in diagnosis, management, and risk stratification.",I,C,27,Recommendation for,Cardiomyopathies,2023,67
"the antiarrhythmic management of patients with arrhythmogenic right ventricular cardiomyopathy Beta-blocker therapy is recommended in ARVC patients with VE, NSVT, and VT.920–",I,C,28,Recommendations for,Cardiomyopathies,2023,68
Amiodarone should be considered when regular beta-blocker therapy fails to control arrhythmia-related symptoms in patients with ARVC.,IIa,C,28,Recommendations for,Cardiomyopathies,2023,68
Flecainide in addition to beta-blockers should be considered when single agent treatment has failed to control arrhythmia-related symptoms in patients with ARVC.,IIa,C,28,Recommendations for,Cardiomyopathies,2023,68
"Catheter ablation with availability for epicardial approach guided by 3D electroanatomical mapping of VT should be considered in ARVC patients with incessant VT or frequent appropriate ICD interventions for VT despite pharmacological therapy with beta-blockers.925,929–",IIa,C,28,Recommendations for,Cardiomyopathies,2023,68
sudden cardiac death prevention in patients with arrhythmogenic right ventricular cardiomyopathy Secondary prevention An ICD is recommended to reduce the risk of sudden death and all-cause mortality in patients with ARVC who have survived a cardiac arrest or have recovered from a ventricular arrhythmia causing haemodynamic instability.,I,A,29,Recommendations for,Cardiomyopathies,2023,69
"An ICD should be considered in ARVC patients who have suffered a haemodynamically tolerated VT.522,939,943–945,948–",IIa,B,29,Recommendations for,Cardiomyopathies,2023,69
Primary prevention High-risk featuresc should be considered to aid individualized decision-making for ICD implantation in patients with ARVC.,IIa,B,29,Recommendations for,Cardiomyopathies,2023,69
"The updated 2019 ARVC risk calculator should be considered to aid individualized decision-making for ICD implantation in patients with ARVC.d,524,526,536–",IIa,B,29,Recommendations for,Cardiomyopathies,2023,69
the management of patients with restrictive cardiomyopathy It is recommended that multimodality imaging be used to differentiate RCM from HCM or DCM with restrictive physiology.,I,C,30,Recommendations for,Cardiomyopathies,2023,72
It is recommended that baseline cardiac and non-cardiac investigations are performed to assess involvement of the neuromuscular system or other syndromic disorders.,I,C,30,Recommendations for,Cardiomyopathies,2023,72
Cardiac catheterization is recommended in all children with RCM to measure pulmonary artery pressures and PVR at diagnosis and at 6–12 monthly intervals to assess change in PVR.,I,B,30,Recommendations for,Cardiomyopathies,2023,72
ICD implantation is recommended to reduce the risk of sudden death and all-cause mortality in patients with RCM who have survived a cardiac arrest or have recovered from a ventricular arrhythmia causing haemodynamic instability.,I,C,30,Recommendations for,Cardiomyopathies,2023,72
"Endomyocardial biopsy should be considered in patients with RCM to exclude specific diagnoses (including iron overload, storage disorders, mitochondrial cytopathies, amyloidosis, and granulomatous myocardial diseases) and to diagnose restrictive myofibrillar disease caused by desmin variants.",IIa,C,30,Recommendations for,Cardiomyopathies,2023,72
ICD implantation may be considered in children with RCM who have evidence of myocardial ischaemia and syncope.,IIb,C,30,Recommendations for,Cardiomyopathies,2023,72
tions for patients with cardiomyopathy All cardiomyopathies Regular low- to moderate-intensity exercise is recommended in all able individuals with cardiomyopathy.,I,C,31,Exercise recommenda­,Cardiomyopathies,2023,80
HCM High-intensity exercise and competitive sport should be considered in genotype-positive/ phenotype-negative individuals who seek to do so.,IIa,C,31,Exercise recommenda­,Cardiomyopathies,2023,81
High-intensity exercise and competitive sport may be considered in asymptomatic low-riskc individuals with morphologically mild hypertrophic cardiomyopathy in the absence of resting or inducible left ventricular outflow obstruction and exercise-induced complex ventricular arrhythmias.,IIb,B,31,Exercise recommenda­,Cardiomyopathies,2023,81
"High-intensity exercise, including competitive sport, is not recommended in high-risk individuals and in individuals with left ventricular outflow tract obstruction and exercise-induced complex ventricular arrhythmias.",III,C,31,Exercise recommenda­,Cardiomyopathies,2023,81
"ARVC Avoidance of high-intensity exercise, including competitive sport, may be considered in genotype-positive/phenotype-negative individuals in families with ARVC.",IIb,C,31,Exercise recommenda­,Cardiomyopathies,2023,81
"Moderate- and/or high-intensity exercise, including competitive sport, is not recommended in individuals with ARVC.181,1111–",III,B,31,Exercise recommenda­,Cardiomyopathies,2023,81
DCM and NDLVC Moderate- and high-intensity exercise should be considered in individuals who are gene positive and phenotype negative (with the exception of pathogenic variants in LMNA and TMEM43) who seek to do so.,IIa,C,31,Exercise recommenda­,Cardiomyopathies,2023,81
High-intensity exercise and competitive sport may be considered in a select group of asymptomatic and optimally treated individuals with a left ventricular ejection fraction ≥50% in the absence of exercise-induced complex arrhythmias.,IIb,C,31,Exercise recommenda­,Cardiomyopathies,2023,81
Moderate-intensity exercise may be considered in asymptomatic and optimally treated individuals with a left ventricular ejection fraction of 40–49% in the absence of exercise-induced complex arrhythmias.,IIb,C,31,Exercise recommenda­,Cardiomyopathies,2023,81
